"No","Kode Kemendagri","Kabupaten","Provinsi","Ibu Kota","Kecamatan","Kecamatan/Desa"
"346.","72.10","Kabupaten Sigi","Sulawesi Tengah","Sigi Biromaru","15","176"
"347.","13.03","Kabupaten Sijunjung","Sumatra Barat","Muaro","08","061"
"348.","53.07","Kabupaten Sikka","Nusa Tenggara Timur","Maumere","21","160"
"349.","12.08","Kabupaten Simalungun","Sumatra Utara","Raya","32","413"
"350.","11.09","Kabupaten Simeulue","Aceh","Sinabang","10","138"
"351.","73.07","Kabupaten Sinjai","Sulawesi Selatan","Sinjai","09","080"
"352.","61.05","Kabupaten Sintang","Kalimantan Barat","Sintang","14","406"
"353.","35.12","Kabupaten Situbondo","Jawa Timur","Situbondo","17","136"
"354.","34.04","Kabupaten Sleman","Daerah Istimewa Yogyakarta","Sleman","17","086"
"355.","13.02","Kabupaten Solok","Sumatra Barat","Arosuka","14","074"
"356.","13.11","Kabupaten Solok Selatan","Sumatra Barat","Padang Aro","07","039"
"357.","73.12","Kabupaten Soppeng","Sulawesi Selatan","Watan Soppeng","08","070"
"358.","92.01","Kabupaten Sorong","Papua Barat Daya","Aimas","30","252"
"359.","92.04","Kabupaten Sorong Selatan","Papua Barat Daya","Teminabuan","15","123"
"360.","33.14","Kabupaten Sragen","Jawa Tengah","Sragen","20","208"
"361.","32.13","Kabupaten Subang","Jawa Barat","Subang","30","253"
"362.","32.02","Kabupaten Sukabumi","Jawa Barat","Pelabuhanratu","47","386"
"363.","62.08","Kabupaten Sukamara","Kalimantan Tengah","Sukamara","05","032"
"364.","33.11","Kabupaten Sukoharjo","Jawa Tengah","Sukoharjo","12","167"
"365.","53.12","Kabupaten Sumba Barat","Nusa Tenggara Timur","Waikabubak","06","074"
"366.","53.18","Kabupaten Sumba Barat Daya","Nusa Tenggara Timur","Tambolaka","11","175"
"367.","53.17","Kabupaten Sumba Tengah","Nusa Tenggara Timur","Waibakul","05","065"
"368.","53.11","Kabupaten Sumba Timur","Nusa Tenggara Timur","Waingapu","22","156"
"369.","52.04","Kabupaten Sumbawa","Nusa Tenggara Barat","Sumbawa Besar","24","165"
